kappa, group speed, phase speed
556,0.299085,0.246969
557,0.299381,0.247063
558,0.299677,0.247157
559,0.299973,0.247252
560,0.300268,0.247346
561,0.300563,0.247441
562,0.300858,0.247535
563,0.301152,0.24763
564,0.301446,0.247725
565,0.301741,0.247821
566,0.302034,0.247916
567,0.302328,0.248012
568,0.302621,0.248108
569,0.302915,0.248204
570,0.303208,0.2483
571,0.3035,0.248397
572,0.303793,0.248493
573,0.304085,0.24859
574,0.304377,0.248687
575,0.304669,0.248784
576,0.30496,0.248881
577,0.305252,0.248979
578,0.305543,0.249076
579,0.305834,0.249174
580,0.306124,0.249272
581,0.306415,0.24937
582,0.306705,0.249468
583,0.306995,0.249567
584,0.307285,0.249665
585,0.307574,0.249764
586,0.307864,0.249863
587,0.308153,0.249962
588,0.308442,0.250061
589,0.30873,0.250161
590,0.309019,0.25026
591,0.309307,0.25036
592,0.309595,0.25046
593,0.309883,0.25056
594,0.31017,0.25066
595,0.310457,0.25076
596,0.310744,0.25086
597,0.311031,0.250961
598,0.311318,0.251062
599,0.311604,0.251162
600,0.31189,0.251263
601,0.312176,0.251365
602,0.312462,0.251466
603,0.312748,0.251567
604,0.313033,0.251669
605,0.313318,0.25177
606,0.313603,0.251872
607,0.313887,0.251974
608,0.314172,0.252076
609,0.314456,0.252178
610,0.31474,0.252281
611,0.315024,0.252383
612,0.315307,0.252486
613,0.31559,0.252588
614,0.315873,0.252691
615,0.316156,0.252794
616,0.316439,0.252897
617,0.316721,0.253001
618,0.317003,0.253104
619,0.317285,0.253207
620,0.317567,0.253311
621,0.317849,0.253415
622,0.31813,0.253518
623,0.318411,0.253622
624,0.318692,0.253726
625,0.318973,0.253831
626,0.319253,0.253935
627,0.319533,0.254039
628,0.319813,0.254144
629,0.320093,0.254248
630,0.320373,0.254353
631,0.320652,0.254458
632,0.320931,0.254563
633,0.32121,0.254668
634,0.321489,0.254773
635,0.321767,0.254879
636,0.322045,0.254984
637,0.322323,0.255089
638,0.322601,0.255195
639,0.322879,0.255301
640,0.323156,0.255407
641,0.323434,0.255512
642,0.323711,0.255618
643,0.323987,0.255725
644,0.324264,0.255831
645,0.32454,0.255937
646,0.324816,0.256044
